toss_won,season,id,short_name,decision,1st_inning_score,2nd_inning_score,winner,venue_name,points
ENG,2022,1298179,ENG v PAK,BOWL FIRST,137/8,138/5,ENG,Melbourne Cricket Ground,None
ENG,2022,1298178,ENG v INDIA,BOWL FIRST,168/6,170/0,ENG,Adelaide Oval,None
NEW,2022,1298177,NZ v PAK,BAT FIRST,152/4,153/3,PAK,Sydney Cricket Ground,None
IND,2022,1298176,INDIA v ZIM,BAT FIRST,186/5,115,INDIA,Melbourne Cricket Ground,"India 2, Zimbabwe 0"
BAN,2022,1298175,BAN v PAK,BAT FIRST,127/8,128/5,PAK,Adelaide Oval,"Pakistan 2, Bangladesh 0"
SOU,2022,1298174,NED v SA,BOWL FIRST,158/4,145/8,NED,Adelaide Oval,"Netherlands 2, South Africa 0"
SRI,2022,1298173,ENG v SL,BAT FIRST,141/8,144/6,ENG,Sydney Cricket Ground,"England 2, Sri Lanka 0"
AFG,2022,1298172,AUS v AFG,BOWL FIRST,168/8,164/7,AUS,Adelaide Oval,"Australia 2, Afghanistan 0"
IRE,2022,1298171,IRE v NZ,BOWL FIRST,185/6,150/9,NZ,Adelaide Oval,"New Zealand 2, Ireland 0"
PAK,2022,1298170,PAK v SA,BAT FIRST,185/9,108/9,PAK,Sydney Cricket Ground,"Pakistan 2, South Africa 0"
BAN,2022,1298169,BAN v INDIA,BOWL FIRST,184/6,145/6,INDIA,Adelaide Oval,"India 2, Bangladesh 0"
ZIM,2022,1298168,NED v ZIM,BAT FIRST,117,120/5,NED,Adelaide Oval,"Netherlands 2, Zimbabwe 0"
ENG,2022,1298167,ENG v NZ,BAT FIRST,179/6,159/6,ENG,"Brisbane Cricket Ground, Woolloongabba, Brisbane","England 2, New Zealand 0"
AFG,2022,1298166,AFG v SL,BAT FIRST,144/8,148/4,SL,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Sri Lanka 2, Afghanistan 0"
IRE,2022,1298165,AUS v IRE,BOWL FIRST,179/5,137,AUS,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Australia 2, Ireland 0"
IND,2022,1298164,INDIA v SA,BAT FIRST,133/9,137/5,SA,Perth Stadium,"South Africa 2, India 0"
NET,2022,1298163,NED v PAK,BAT FIRST,91/9,95/4,PAK,Perth Stadium,"Pakistan 2, Netherlands 0"
BAN,2022,1298162,BAN v ZIM,BAT FIRST,150/7,147/8,BAN,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Bangladesh 2, Zimbabwe 0"
NEW,2022,1298161,NZ v SL,BAT FIRST,167/7,102,NZ,Sydney Cricket Ground,"New Zealand 2, Sri Lanka 0"
ZIM,2022,1298158,PAK v ZIM,BAT FIRST,130/8,129/8,ZIM,Perth Stadium,"Zimbabwe 2, Pakistan 0"
IND,2022,1298157,INDIA v NED,BAT FIRST,179/2,123/9,INDIA,Sydney Cricket Ground,"India 2, Netherlands 0"
SOU,2022,1298156,BAN v SA,BAT FIRST,205/5,101,SA,Sydney Cricket Ground,"South Africa 2, Bangladesh 0"
ENG,2022,1298154,ENG v IRE,BOWL FIRST,157,105/5,IRE,Melbourne Cricket Ground,"Ireland 2, England 0"
AUS,2022,1298153,AUS v SL,BOWL FIRST,157/6,158/3,AUS,Perth Stadium,"Australia 2, Sri Lanka 0"
ZIM,2022,1298152,SA v ZIM,BAT FIRST,79/5,51/0,SA,"Bellerive Oval, Hobart","South Africa 1, Zimbabwe 1"
NET,2022,1298151,BAN v NED,BOWL FIRST,144/8,135,BAN,"Bellerive Oval, Hobart","Bangladesh 2, Netherlands 0"
IND,2022,1298150,INDIA v PAK,BOWL FIRST,159/8,160/6,INDIA,Melbourne Cricket Ground,"India 2, Pakistan 0"
IRE,2022,1298149,IRE v SL,BAT FIRST,128/8,133/1,SL,"Bellerive Oval, Hobart","Sri Lanka 2, Ireland 0"
ENG,2022,1298148,AFG v ENG,BOWL FIRST,112,113/5,ENG,Perth Stadium,"England 2, Afghanistan 0"
AUS,2022,1298147,AUS v NZ,BOWL FIRST,200/3,111,NZ,Sydney Cricket Ground,"New Zealand 2, Australia 0"
SCO,2022,1298146,SCOT v ZIM,BAT FIRST,132/6,133/5,ZIM,"Bellerive Oval, Hobart","Zimbabwe 2, Scotland 0"
WES,2022,1298145,IRE v WI,BAT FIRST,146/5,150/1,IRE,"Bellerive Oval, Hobart","Ireland 2, West Indies 0"
UNI,2022,1298144,NAM v UAE,BAT FIRST,148/3,141/8,UAE,"Simonds Stadium, South Geelong, Victoria","United Arab Emirates 2, Namibia 0"
SRI,2022,1298143,NED v SL,BAT FIRST,162/6,146/9,SL,"Simonds Stadium, South Geelong, Victoria","Sri Lanka 2, Netherlands 0"
WES,2022,1298142,WI v ZIM,BAT FIRST,153/7,122,WI,"Bellerive Oval, Hobart","West Indies 2, Zimbabwe 0"
SCO,2022,1298141,IRE v SCOT,BAT FIRST,176/5,180/4,IRE,"Bellerive Oval, Hobart","Ireland 2, Scotland 0"
UNI,2022,1298140,SL v UAE,BOWL FIRST,152/8,73,SL,"Simonds Stadium, South Geelong, Victoria","Sri Lanka 2, United Arab Emirates 0"
NAM,2022,1298139,NAM v NED,BAT FIRST,121/6,122/5,NED,"Simonds Stadium, South Geelong, Victoria","Netherlands 2, Namibia 0"
IRE,2022,1298138,IRE v ZIM,BOWL FIRST,174/7,143/9,ZIM,"Bellerive Oval, Hobart","Zimbabwe 2, Ireland 0"
WES,2022,1298137,SCOT v WI,BOWL FIRST,160/5,118,SCOT,"Bellerive Oval, Hobart","Scotland 2, West Indies 0"
UNI,2022,1298136,NED v UAE,BAT FIRST,111/8,112/7,NED,"Simonds Stadium, South Geelong, Victoria","Netherlands 2, United Arab Emirates 0"
SRI,2022,1298135,NAM v SL,BOWL FIRST,163/7,108,NAM,"Simonds Stadium, South Geelong, Victoria","Namibia 2, Sri Lanka 0"
